steam_link,name,link,version,notes,dependency1_name,dependency1_link,dependency2_name,dependency2_link,dependency3_name,dependency3_link,mod_image
https://steamuserimages-a.akamaihd.net/ugc/1615094320279517896/B588B5C23B0CD11481C3BB2276D9F38BE2B985D2/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,[WILL BE DEPRECATED] UnifiedUI (UUI) 2.2,https://github.com/kianzarrin/UnifiedUI/releases/download/V2.2.12/UnifiedUI-V2.2.12.zip,,,,,,,,,https://steamuserimages-a.akamaihd.net/ugc/1615094320279517896/B588B5C23B0CD11481C3BB2276D9F38BE2B985D2/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/workshop/filedetails/?id=2862121823,81 Tiles 2,Mods\EightyOne2.zip,1.0.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,,,,,https://steamuserimages-a.akamaihd.net/ugc/2037352559692469420/241C514C1CCA472815D28729AB057AAFFE8481BE/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamuserimages-a.akamaihd.net/ugc/1853799960220504921/8F0D3A0338FB5C323ADD6BB24314EBB5423EBC30/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,ACME,Mods\ACME.zip,0.6.5,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,,,,,https://steamuserimages-a.akamaihd.net/ugc/1853799960220504921/8F0D3A0338FB5C323ADD6BB24314EBB5423EBC30/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamuserimages-a.akamaihd.net/ugc/2073384232578551022/DD113CAB8742BD5BC663067FB0473FA94B3AE7C4/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,Adaptive Networks (AN) V3.18 (STABLE),https://github.com/kianzarrin/AdaptiveNetworks/releases/download/V3.16.18/AdaptiveRoads-V3.16.18.zip,3.18,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,TMPE,https://github.com/CitiesSkylinesMods/TMPE/releases/download/11.8.0.0/TMPE_11_8_0_0_STABLE.zip,,,https://steamuserimages-a.akamaihd.net/ugc/2073384232578551022/DD113CAB8742BD5BC663067FB0473FA94B3AE7C4/?imw=512&&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamuserimages-a.akamaihd.net/ugc/1679268451751915452/BB8E8D770D038E2194A8CF5F13ADAACBB17046D4/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,Advanced Building Level Control,Mods\AdvancedBuildingLevelControl.zip,Latest,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,,,,,https://steamuserimages-a.akamaihd.net/ugc/1679268451751915452/BB8E8D770D038E2194A8CF5F13ADAACBB17046D4/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/workshop/filedetails/?id=3007420766,All Lumina Styles for EPIC.,https://github.com/NyokoDev/Lumina/releases/download/Style/All.Lumina.Styles.zip,Latest,Normal procedure,Lumina,https://github.com/NyokoDev/Lumina/releases,,,,,https://steamuserimages-a.akamaihd.net/ugc/2226527842508225717/519057764C72073939537F0205117CB6437C949C/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/sharedfiles/filedetails/?id=2197863850&searchtext=bob,BOB the tree and prop replacer,Mods\BOB.zip,0.9.9.2,ATTENTION! You need to move the two .crp files into your local asset folder.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,,,,,https://steamuserimages-a.akamaihd.net/ugc/2056496663384855800/F7FFDB25F250D90AC4DA26F947546093D3FE0C4F/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/sharedfiles/filedetails/?id=2511258910&searchtext=building+spawn+points,Building Spawn Points,https://github.com/MacSergey/BuildingSpawnPoints/releases/download/v1.4.1.1/BSP_1_4_1_1.zip,1.4.1.1,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,,,,,https://steamuserimages-a.akamaihd.net/ugc/1767080729239250872/7AB1B29083A779A54E4C2C417568C58477022C25/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/sharedfiles/filedetails/?id=845665815&searchtext=csl+map+view,CSL Map View,Mods\CSLMapView_SkyLinx.zip,4.4.7,Normal procedure. Note: Being unable to export with an 'XML root element missing' error in the log. Train tracks sometimes not included. If you modify a node in NCR or NC2 and output a map the drawing of the corresponding Node part may be incorrect. Passenger helicopter and Trolley-bus routes added in DLC SH are not displayed. (DLC SH is not supported).,,,,,,,https://steamuserimages-a.akamaihd.net/ugc/867360078973709931/3CD633AC78E621C1BA4D35B7BC2936F7C0511A65/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
https://steamcommunity.com/sharedfiles/filedetails/?id=2916710759&searchtext=deman,Demand Controller,https://github.com/NyokoDev/DemandController/releases/download/v1/DemandController.zip,Latest (Recompiled),Normal procedure. The mod was recompiled because the author was unreachable,,,,,,,https://steamuserimages-a.akamaihd.net/ugc/2001324397658740174/4B500AFBDDEF1288CE01A2ABF731D4C3D6217B8C/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false
