steam_link,name,link,version,notes,dependency1_name,dependency1_link,dependency2_name,dependency2_link,dependency3_name,dependency3_link
https://steamcommunity.com/sharedfiles/filedetails/?id=2255219025&searchtext=UUI,[WILL BE DEPRECATED] UnifiedUI (UUI) 2.2,https://github.com/kianzarrin/UnifiedUI/releases/download/V2.2.12/UnifiedUI-V2.2.12.zip,2.2.12,Might not function correctly detecting other mods in EPIC GAMES.,None
https://steamcommunity.com/workshop/filedetails/?id=2862121823,81 Tiles 2,https://cdn.discordapp.com/attachments/1020292156512026695/1125351413053141032/EightyOne2.zip?ex=65645bac&is=6551e6ac&hm=58a01dba7ed387704ef96880f7afba4fae2c386e3abdcaddf4b49843d6113ec9&,1.0.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2778750497&searchtext=acme,ACME,https://cdn.discordapp.com/attachments/1020292156512026695/1125351413053141032/EightyOne2.zip?ex=65645bac&is=6551e6ac&hm=58a01dba7ed387704ef96880f7afba4fae2c386e3abdcaddf4b49843d6113ec9&,0.6.5,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2669938594&searchtext=Adaptive+Networks+%28AN%29+V3.18+%28STABLE%29,Adaptive Networks (AN) V3.18 (STABLE),https://github.com/kianzarrin/AdaptiveNetworks/releases/download/V3.16.18/AdaptiveRoads-V3.16.18.zip,3.18,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,TMPE,https://github.com/CitiesSkylinesMods/TMPE/releases/download/11.8.0.0/TMPE_11_8_0_0_STABLE.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2133705267&searchtext=advanced+building+level+control,Advanced Building Level Control,https://cdn.discordapp.com/attachments/1020292156512026695/1110536846448017438/AdvancedBuildingLevelControl.zip,Latest,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/workshop/filedetails/?id=3007420766,All Lumina Styles for EPIC.,https://github.com/NyokoDev/Lumina/releases/download/Style/All.Lumina.Styles.zip,Latest,Normal procedure,Lumina,https://github.com/NyokoDev/Lumina/releases
https://steamcommunity.com/sharedfiles/filedetails/?id=2197863850&searchtext=bob,BOB the tree and prop replacer,https://cdn.discordapp.com/attachments/1020292156512026695/1088822695111688232/BOB.zip?ex=6560aaa7&is=654e35a7&hm=e2764bb4c693c296aabf272f256ff4c6ad3c4f6f4fa7f207b300fd07621f21cb&,0.9.9.2,ATTENTION! You need to move the two .crp files into your local asset folder.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2511258910&searchtext=building+spawn+points,Building Spawn Points,https://github.com/MacSergey/BuildingSpawnPoints/releases/download/v1.4.1.1/BSP_1_4_1_1.zip,1.4.1.1,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=845665815&searchtext=csl+map+view,CSL Map View,https://github.com/NyokoDev/SkyLinx/raw/master/Mods/CSLMapView_SkyLinx.zip,4.4.7,Normal procedure. Note: Being unable to export with an 'XML root element missing' error in the log. Train tracks sometimes not included. If you modify a node in NCR or NC2 and output a map the drawing of the corresponding Node part may be incorrect. Passenger helicopter and Trolley-bus routes added in DLC SH are not displayed. (DLC SH is not supported).,
https://steamcommunity.com/sharedfiles/filedetails/?id=2916710759&searchtext=deman,Demand Controller,https://github.com/NyokoDev/DemandController/releases/download/v1/DemandController.zip,Latest (Recompiled),Normal procedure. The mod was recompiled because the author was unreachable,
https://steamcommunity.com/sharedfiles/filedetails/?id=2455665392&searchtext=enlighten+your+mouse,Enlighten Your Mouse,https://cdn.discordapp.com/attachments/1020292156512026695/1136262664536997968/EnlightenYourMouse.zip?ex=655de911&is=654b7411&hm=7cab3bdbb2fdc03f0264adbd1268cdc7a4c18ecdd06e9bce246634e3c6ee4260&,1.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
